free_spaces_number;updated_at;parking_id;HORA;FECHA
1;2021-11-04 18:30:39.067000;Pedro Zerolo;18:30:39;2021-11-04
5;2021-11-04 18:30:25.593000;BARCO 1;18:30:25;2021-11-04
2;2021-11-04 18:30:26.093000;GRAVINA 21;18:30:26;2021-11-04
13;2021-11-04 18:30:26.703000;El Corte Inglés Callao;18:30:26;2021-11-04
44;2021-11-04 18:30:27.313000;MERCADO SAN ANTON;18:30:27;2021-11-04
28;2021-11-04 18:30:27.627000;GARAJE PIAMONTE;18:30:27;2021-11-04
16;2021-11-04 18:30:27.927000;PARKING VOT;18:30:27;2021-11-04
75;2021-11-04 18:30:28.787000;Mercado de la Cebada;18:30:28;2021-11-04
521;2021-11-04 18:32:32.027000;Nuestra Señora del Recuerdo;18:32:32;2021-11-04
252;2021-11-04 18:31:47.670000;Avenida de Portugal;18:31:47;2021-11-04
168;2021-11-04 18:32:22.440000;Almagro;18:32:22;2021-11-04
82;2021-11-04 18:32:18.800000;Jacinto Benavente;18:32:18;2021-11-04
79;2021-11-04 18:31:43.970000;Orense;18:31:43;2021-11-04
265;2021-11-04 18:32:30.773000;Marqués de Salamanca;18:32:30;2021-11-04
47;2021-11-04 18:32:24.720000;Fuencarral;18:32:24;2021-11-04
16;2021-11-04 18:32:29.467000;Montalbán;18:32:29;2021-11-04
197;2021-11-04 18:32:23.717000;Olavide;18:32:23;2021-11-04
339;2021-11-04 18:31:45.190000;Plaza de España;18:31:45;2021-11-04
243;2021-11-04 18:32:34.327000;Plaza Mayor;18:32:34;2021-11-04
21;2021-11-04 18:32:21.317000;Villa de París;18:32:21;2021-11-04
0;2021-11-04 18:32:20.037000;Pedro Zerolo;18:32:20;2021-11-04
75;2021-11-04 18:32:18.190000;Mercado de la Cebada;18:32:18;2021-11-04
252;2021-11-04 18:32:39.050000;Avenida de Portugal;18:32:39;2021-11-04
170;2021-11-04 18:33:13.097000;Almagro;18:33:13;2021-11-04
80;2021-11-04 18:33:10.133000;Jacinto Benavente;18:33:10;2021-11-04
79;2021-11-04 18:32:35.450000;Orense;18:32:35;2021-11-04
122;2021-11-04 18:32:37.910000;Montalbán;18:32:37;2021-11-04
340;2021-11-04 18:32:36.730000;Plaza de España;18:32:36;2021-11-04
21;2021-11-04 18:33:12.063000;Villa de París;18:33:12;2021-11-04
0;2021-11-04 18:33:10.933000;Pedro Zerolo;18:33:10;2021-11-04
521;2021-11-04 18:34:08.160000;Nuestra Señora del Recuerdo;18:34:08;2021-11-04
253;2021-11-04 18:33:26.783000;Avenida de Portugal;18:33:26;2021-11-04
171;2021-11-04 18:34:00.937000;Almagro;18:34:00;2021-11-04
80;2021-11-04 18:33:57.887000;Jacinto Benavente;18:33:57;2021-11-04
80;2021-11-04 18:34:11.547000;Orense;18:34:11;2021-11-04
267;2021-11-04 18:34:07.313000;Marqués de Salamanca;18:34:07;2021-11-04
48;2021-11-04 18:34:02.957000;Fuencarral;18:34:02;2021-11-04
122;2021-11-04 18:34:13.907000;Montalbán;18:34:13;2021-11-04
195;2021-11-04 18:34:01.970000;Olavide;18:34:01;2021-11-04
341;2021-11-04 18:34:12.827000;Plaza de España;18:34:12;2021-11-04
248;2021-11-04 18:34:10.260000;Plaza Mayor;18:34:10;2021-11-04
22;2021-11-04 18:33:59.887000;Villa de París;18:33:59;2021-11-04
1;2021-11-04 18:33:58.887000;Pedro Zerolo;18:33:58;2021-11-04
76;2021-11-04 18:34:08.320000;Mercado de la Cebada;18:34:08;2021-11-04
521;2021-11-04 18:34:57.783000;Nuestra Señora del Recuerdo;18:34:57;2021-11-04
252;2021-11-04 18:35:04.257000;Avenida de Portugal;18:35:04;2021-11-04
170;2021-11-04 18:34:49.303000;Almagro;18:34:49;2021-11-04
247;2021-11-04 18:35:12.907000;Luna-Tudescos;18:35:12;2021-11-04
80;2021-11-04 18:34:46.240000;Jacinto Benavente;18:34:46;2021-11-04
29;2021-11-04 18:35:14.613000;Arquitecto Ribera (Barceló);18:35:14;2021-11-04
30;2021-11-04 18:35:15.347000;Casino de la Reina;18:35:15;2021-11-04
290;2021-11-04 18:35:16.473000;Descalzas;18:35:16;2021-11-04
81;2021-11-04 18:35:00.813000;Orense;18:35:00;2021-11-04
268;2021-11-04 18:34:56.597000;Marqués de Salamanca;18:34:56;2021-11-04
48;2021-11-04 18:34:51.460000;Fuencarral;18:34:51;2021-11-04
110;2021-11-04 18:35:18.320000;Plaza de Oriente;18:35:18;2021-11-04
22;2021-11-04 18:35:19.287000;Sánchez Bustillo;18:35:19;2021-11-04
123;2021-11-04 18:35:03.117000;Montalbán;18:35:03;2021-11-04
196;2021-11-04 18:34:50.477000;Olavide;18:34:50;2021-11-04
341;2021-11-04 18:35:01.957000;Plaza de España;18:35:01;2021-11-04
248;2021-11-04 18:34:59.997000;Plaza Mayor;18:34:59;2021-11-04
22;2021-11-04 18:34:48.380000;Villa de París;18:34:48;2021-11-04
1;2021-11-04 18:34:47.233000;Pedro Zerolo;18:34:47;2021-11-04
76;2021-11-04 18:35:08.420000;Mercado de la Cebada;18:35:08;2021-11-04
522;2021-11-04 18:35:46.783000;Nuestra Señora del Recuerdo;18:35:46;2021-11-04
253;2021-11-04 18:35:53.303000;Avenida de Portugal;18:35:53;2021-11-04
170;2021-11-04 18:35:38.607000;Almagro;18:35:38;2021-11-04
80;2021-11-04 18:36:24.403000;Jacinto Benavente;18:36:24;2021-11-04
82;2021-11-04 18:35:50.143000;Orense;18:35:50;2021-11-04
268;2021-11-04 18:35:45.737000;Marqués de Salamanca;18:35:45;2021-11-04
47;2021-11-04 18:35:40.497000;Fuencarral;18:35:40;2021-11-04
123;2021-11-04 18:35:52.380000;Montalbán;18:35:52;2021-11-04
196;2021-11-04 18:35:39.590000;Olavide;18:35:39;2021-11-04
340;2021-11-04 18:35:51.113000;Plaza de España;18:35:51;2021-11-04
37;2021-11-04 18:35:21.510000;Plaza del Rey;18:35:21;2021-11-04
246;2021-11-04 18:35:48.987000;Plaza Mayor;18:35:48;2021-11-04
22;2021-11-04 18:35:37.527000;Villa de París;18:35:37;2021-11-04
1;2021-11-04 18:36:25.703000;Pedro Zerolo;18:36:25;2021-11-04
6;2021-11-04 18:35:23.793000;BARCO 1;18:35:23;2021-11-04
4;2021-11-04 18:35:24.293000;GRAVINA 21;18:35:24;2021-11-04
