free_spaces_number;updated_at;parking_id;fecha;hora
48;2021-11-04 18:29:06.297000;Fuencarral;2021-11-04;18:29:06
116;2021-11-04 18:25:22.757000;Plaza de Oriente;2021-11-04;18:25:22
20;2021-11-04 18:25:23.960000;Sánchez Bustillo;2021-11-04;18:25:23
15;2021-11-04 18:29:10.453000;Montalbán;2021-11-04;18:29:10
198;2021-11-04 18:29:05.233000;Olavide;2021-11-04;18:29:05
342;2021-11-04 18:28:28.457000;Plaza de España;2021-11-04;18:28:28
37;2021-11-04 18:25:26.407000;Plaza del Rey;2021-11-04;18:25:26
234;2021-11-04 18:28:26.747000;Plaza Mayor;2021-11-04;18:28:26
20;2021-11-04 18:29:03.017000;Villa de París;2021-11-04;18:29:03
1;2021-11-04 18:29:01.937000;Pedro Zerolo;2021-11-04;18:29:01
4;2021-11-04 18:25:28.613000;BARCO 1;2021-11-04;18:25:28
2;2021-11-04 18:25:28.957000;GRAVINA 21;2021-11-04;18:25:28
13;2021-11-04 18:25:29.457000;El Corte Inglés Callao;2021-11-04;18:25:29
44;2021-11-04 18:25:29.910000;MERCADO SAN ANTON;2021-11-04;18:25:29
28;2021-11-04 18:25:30.300000;GARAJE PIAMONTE;2021-11-04;18:25:30
17;2021-11-04 18:25:30.737000;PARKING VOT;2021-11-04;18:25:30
75;2021-11-04 18:28:17.953000;Mercado de la Cebada;2021-11-04;18:28:17
520;2021-11-04 18:30:50.847000;Nuestra Señora del Recuerdo;2021-11-04;18:30:50
252;2021-11-04 18:30:57.457000;Avenida de Portugal;2021-11-04;18:30:57
165;2021-11-04 18:30:41.427000;Almagro;2021-11-04;18:30:41
242;2021-11-04 18:30:13.293000;Luna-Tudescos;2021-11-04;18:30:13
84;2021-11-04 18:30:37.960000;Jacinto Benavente;2021-11-04;18:30:37
31;2021-11-04 18:30:15.397000;Arquitecto Ribera (Barceló);2021-11-04;18:30:15
31;2021-11-04 18:30:16.457000;Casino de la Reina;2021-11-04;18:30:16
287;2021-11-04 18:30:17.960000;Descalzas;2021-11-04;18:30:17
79;2021-11-04 18:30:54.260000;Orense;2021-11-04;18:30:54
262;2021-11-04 18:30:49.723000;Marqués de Salamanca;2021-11-04;18:30:49
47;2021-11-04 18:30:43.980000;Fuencarral;2021-11-04;18:30:43
113;2021-11-04 18:30:19.710000;Plaza de Oriente;2021-11-04;18:30:19
20;2021-11-04 18:30:20.680000;Sánchez Bustillo;2021-11-04;18:30:20
122;2021-11-04 18:30:56.377000;Montalbán;2021-11-04;18:30:56
197;2021-11-04 18:30:42.630000;Olavide;2021-11-04;18:30:42
339;2021-11-04 18:30:55.440000;Plaza de España;2021-11-04;18:30:55
37;2021-11-04 18:30:23.220000;Plaza del Rey;2021-11-04;18:30:23
238;2021-11-04 18:30:53.057000;Plaza Mayor;2021-11-04;18:30:53
20;2021-11-04 18:30:40.333000;Villa de París;2021-11-04;18:30:40
